Hisse Kodu,Hisse Adı,Şehir
BAGFS,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.,İSTANBUL
BAHKM,BAHADIR KİMYA SANAYİ VE TİCARET A.Ş.,KIRIKKALE
BAKAB,BAK AMBALAJ SANAYİ VE TİCARET A.Ş.,İZMİR
BALAT,BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.,İZMİR
BALSU,BALSU GIDA SANAYİ VE TİCARET A.Ş.,İSTANBUL
BANVT,BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİ A.Ş.,BALIKESİR
BARMA,BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.,İZMİR
BASCM,BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.,ANKARA
BASGZ,BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ANKARA
BAYRK,BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.,İSTANBUL
BEGYO,BATI EGE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,DENİZLİ
BERA,BERA HOLDİNG A.Ş.,KONYA
BEYAZ,BEYAZ FİLO OTO KİRALAMA A.Ş.,ANKARA
BFREN,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,BURSA
BIENY,BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.,ANKARA
BIGCH,BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.,İSTANBUL
BIGEN,BİRLEŞİM GRUP ENERJİ YATIRIMLARI A.Ş.,İSTANBUL
BIMAS,BİM BİRLEŞİK MAĞAZALAR A.Ş.,İSTANBUL
BINBN,BİN ULAŞIM VE AKILLI ŞEHİR TEKNOLOJİLERİ A.Ş.,İSTANBUL
BINHO,1000 YATIRIMLAR HOLDİNG A.Ş.,İSTANBUL
BIOEN,BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.,İSTANBUL
BIZIM,BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.,İSTANBUL
BJKAS,BEŞİKTAŞ FUTBOL YATIRIMLARI SANAYİ VE TİCARET A.Ş.,İSTANBUL
BLCYT,BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.,ADANA
BMSCH,BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.,MANİSA
BMSTL,BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.,İSTANBUL
BNTAS,BANTAŞ BANDIRMA AMBALAJ SANAYİ VE TİCARET A.Ş.,BALIKESİR
BOBET,BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.,İSTANBUL
BORLS,BORLEASE OTOMOTİV A.Ş.,İSTANBUL
BORSK,BOR ŞEKER A.Ş.,İSTANBUL
BOSSA,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.,ADANA
BRISA,BRİSA BRİDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.,İSTANBUL
BRKSN,BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.,İSTANBUL
BRKVY,BİRİKİM VARLIK YÖNETİM A.Ş.,İSTANBUL
BRLSM,BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.,İSTANBUL
BRSAN,BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET A.Ş.,İSTANBUL
BRYAT,BORUSAN YATIRIM VE PAZARLAMA A.Ş.,İSTANBUL
BSOKE,BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.,İZMİR
BTCIM,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.,İZMİR
BUCIM,BURSA ÇİMENTO FABRİKASI A.Ş.,BURSA
BULGS,BULLS GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
BURCE,BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.,BURSA
BURVA,BURÇELİK VANA SANAYİ VE TİCARET A.Ş.,BURSA
BVSAN,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.,ANKARA
BYDNR,BAYDÖNER RESTORANLARI A.Ş.,İZMİR
CANTE,ÇAN2 TERMİK A.Ş.,İSTANBUL
CATES,ÇATES ELEKTRİK ÜRETİM A.Ş.,ZONGULDAK
CCOLA,COCA-COLA İÇECEK A.Ş.,İSTANBUL
CELHA,ÇELİK HALAT VE TEL SANAYİİ A.Ş.,KOCAELİ
CEMAS,ÇEMAŞ DÖKÜM SANAYİ A.Ş.,KIRŞEHİR
CEMTS,ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.,BURSA
CEMZY,CEM ZEYTİN A.Ş.,İZMİR
CEOEM,CEO EVENT MEDYA A.Ş.,İSTANBUL
CGCAM,ÇAĞDAŞ CAM SANAYİ VE TİCARET A.Ş.,AYDIN
CIMSA,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,İSTANBUL
CLEBI,ÇELEBİ HAVA SERVİSİ A.Ş.,İSTANBUL
CMBTN,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,İZMİR
CMENT,ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.,İZMİR
CONSE,CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.,İSTANBUL
COSMO,COSMOS YATIRIM HOLDİNG A.Ş.,İSTANBUL
CRDFA,CREDITWEST FAKTORİNG A.Ş.,İSTANBUL
CRFSA,CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.,İSTANBUL
CUSAN,ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.,İSTANBUL
CVKMD,CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL
CWENE,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.,ANTALYA
DAGHL,DAGİ YATIRIM HOLDİNG A.Ş.,İSTANBUL
DAGI,DAGİ GİYİM SANAYİ VE TİCARET A.Ş.,İSTANBUL
DAPGM,DAP GAYRİMENKUL GELİŞTİRME A.Ş.,İSTANBUL
DARDL,DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.,ÇANAKKALE
DCTTR,DCT TRADİNG DIŞ TİCARET A.Ş.,İSTANBUL
DENGE,DENGE YATIRIM HOLDİNG A.Ş.,İSTANBUL
DERHL,DERLÜKS YATIRIM HOLDİNG A.Ş.,İSTANBUL
DERIM,DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.,TEKİRDAĞ
DESA,DESA DERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL
DESPC,DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.,İSTANBUL
DEVA,DEVA HOLDİNG A.Ş.,İSTANBUL
DGATE,DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.,İSTANBUL
DGGYO,DOĞUŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
DGNMO,DOĞANLAR MOBİLYA GRUBU İMALAT SANAYİ VE TİCARET A.Ş.,İSTANBUL
DITAS,DİTAŞ DOĞAN YEDEK PARÇA İMALAT VE TEKNİK A.Ş.,NİĞDE
DMRGD,DMR UNLU MAMULLER ÜRETİM GIDA TOPTAN PERAKENDE İHRACAT A.Ş.,İSTANBUL
DMSAS,DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.,KOCAELİ
DNISI,DİNAMİK ISI MAKİNA YALITIM MALZEMELERİ SANAYİ VE TİCARET A.Ş.,İZMİR
DOAS,DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.,İSTANBUL
DOBUR,DOĞAN BURDA DERGİ YAYINCILIK VE PAZARLAMA A.Ş.,İSTANBUL
DOCO,DO &amp; CO AKTIENGESELLSCHAFT,---
DOFER,DOFER YAPI MALZEMELERİ SANAYİ VE TİCARET A.Ş.,ANKARA
DOGUB,DOĞUSAN BORU SANAYİ VE TİCARET A.Ş.,ERZİNCAN
DOHOL,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.,İSTANBUL
DOKTA,DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.,BURSA
