Hisse Kodu,Hisse Adı,Şehir
KFEIN,KAFEİN YAZILIM HİZMETLERİ TİCARET A.Ş.,İSTANBUL
KGYO,KORAY GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
KIMMR,ERSAN ALIŞVERİŞ HİZMETLERİ VE GIDA SANAYİ TİCARET A.Ş.,İSTANBUL
KLGYO,KİLER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
KLKIM,KALEKİM KİMYEVİ MADDELER SANAYİ VE TİCARET A.Ş.,İSTANBUL
KLMSN,KLİMASAN KLİMA SANAYİ VE TİCARET A.Ş.,MANİSA
KLRHO,KİLER HOLDİNG A.Ş.,İSTANBUL
KLSER,KALESERAMİK ÇANAKKALE KALEBODUR SERAMİK SANAYİ A.Ş.,İSTANBUL
KLSYN,KOLEKSİYON MOBİLYA SANAYİ A.Ş.,İSTANBUL
KLYPV,KALYON GÜNEŞ TEKNOLOJİLERİ ÜRETİM A.Ş.,ANKARA
KMPUR,KİMTEKS POLİÜRETAN SANAYİ VE TİCARET A.Ş.,İSTANBUL
KNFRT,KONFRUT TARIM A.Ş.,İSTANBUL
KOCMT,KOÇ METALURJİ A.Ş.,HATAY
KONKA,KONYA KAĞIT SANAYİ VE TİCARET A.Ş.,KONYA
KONTR,KONTROLMATİK TEKNOLOJİ ENERJİ VE MÜHENDİSLİK A.Ş.,İSTANBUL
KONYA,KONYA ÇİMENTO SANAYİİ A.Ş.,KONYA
KOPOL,KOZA POLYESTER SANAYİ VE TİCARET A.Ş.,GAZİANTEP
KORDS,KORDSA TEKNİK TEKSTİL A.Ş.,KOCAELİ
KOTON,KOTON MAĞAZACILIK TEKSTİL SANAYİ VE TİCARET A.Ş.,İSTANBUL
KOZAA,KOZA ANADOLU METAL MADENCİLİK İŞLETMELERİ A.Ş.,ANKARA
KOZAL,KOZA ALTIN İŞLETMELERİ A.Ş.,ANKARA
KRDMA,KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.,KARABÜK
KRGYO,KÖRFEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
KRONT,KRON TEKNOLOJİ A.Ş.,İSTANBUL
KRPLS,KOROPLAST TEMİZLİK AMBALAJ ÜRÜNLERİ SANAYİ VE DIŞ TİCARET A.Ş.,İSTANBUL
KRSTL,KRİSTAL KOLA VE MEŞRUBAT SANAYİ TİCARET A.Ş.,İSTANBUL
KRTEK,KARSU TEKSTİL SANAYİİ VE TİCARET A.Ş.,KAYSERİ
KRVGD,KERVAN GIDA SANAYİ VE TİCARET A.Ş.,İSTANBUL
KSTUR,KUŞTUR KUŞADASI TURİZM ENDÜSTRİSİ A.Ş.,AYDIN
KTLEV,KATILIMEVİM TASARRUF FİNANSMAN A.Ş.,İSTANBUL
KTSKR,KÜTAHYA ŞEKER FABRİKASI A.Ş.,KÜTAHYA
KUTPO,KÜTAHYA PORSELEN SANAYİ A.Ş.,KÜTAHYA
KUYAS,KUYAŞ YATIRIM A.Ş.,İSTANBUL
KZBGY,KIZILBÜK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
KZGYO,KUZUGRUP GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
LIDER,LDR TURİZM A.Ş.,İSTANBUL
LIDFA,LİDER FAKTORİNG A.Ş.,İSTANBUL
LILAK,LİLA KAĞIT SANAYİ VE TİCARET A.Ş.,İSTANBUL
LINK,LİNK BİLGİSAYAR SİSTEMLERİ YAZILIMI VE DONANIMI SANAYİ VE TİCARET A.Ş.,İSTANBUL
LKMNH,LOKMAN HEKİM ENGÜRÜSAĞ SAĞLIK TURİZM EĞİTİM HİZMETLERİ VE İNŞAAT TAAHHÜT A.Ş.,ANKARA
LMKDC,LİMAK DOĞU ANADOLU ÇİMENTO SANAYİ VE TİCARET A.Ş.,ŞANLIURFA
LOGO,LOGO YAZILIM SANAYİ VE TİCARET A.Ş.,KOCAELİ
LRSHO,LORAS HOLDİNG A.Ş.,KONYA
LUKSK,LÜKS KADİFE TİCARET VE SANAYİİ A.Ş.,KAYSERİ
LYDHO,LYDİA HOLDİNG A.Ş.,İSTANBUL
LYDYE,LYDİA YEŞİL ENERJİ KAYNAKLARI A.Ş.,İSTANBUL
MAALT,MARMARİS ALTINYUNUS TURİSTİK TESİSLER A.Ş.,ANTALYA
MACKO,MACKOLİK İNTERNET HİZMETLERİ TİCARET A.Ş.,İSTANBUL
MAGEN,MARGÜN ENERJİ ÜRETİM SANAYİ VE TİCARET A.Ş.,ANKARA
MAKIM,MAKİM MAKİNA TEKNOLOJİLERİ SANAYİ VE TİCARET A.Ş.,ANKARA
MAKTK,MAKİNA TAKIM ENDÜSTRİSİ A.Ş.,İSTANBUL
MANAS,MANAS ENERJİ YÖNETİMİ SANAYİ VE TİCARET A.Ş.,ANKARA
MARBL,TUREKS TURUNÇ MADENCİLİK İÇ VE DIŞ TİCARET A.Ş.,AFYONKARAHİSAR
MARKA,MARKA YATIRIM HOLDİNG A.Ş.,İSTANBUL
MARTI,MARTI OTEL İŞLETMELERİ A.Ş.,İSTANBUL
MAVI,MAVİ GİYİM SANAYİ VE TİCARET A.Ş.,İSTANBUL
MEDTR,MEDİTERA TIBBİ MALZEME SANAYİ VE TİCARET A.Ş.,İZMİR
MEGAP,MEGA POLİETİLEN KÖPÜK SANAYİ VE TİCARET A.Ş.,İSTANBUL
MEGMT,MEGA METAL SANAYİ VE TİCARET A.Ş.,İSTANBUL
MEKAG,MEKA GLOBAL MAKİNE İMALAT SANAYİ VE TİCARET A.Ş.,ANKARA
MEPET,MEPET METRO PETROL VE TESİSLERİ SANAYİ TİCARET A.Ş.,İSTANBUL
MERCN,MERCAN KİMYA SANAYİ VE TİCARET A.Ş.,DENİZLİ
MERIT,MERİT TURİZM YATIRIM VE İŞLETME A.Ş.,İSTANBUL
MERKO,MERKO GIDA SANAYİ VE TİCARET A.Ş.,İSTANBUL
METRO,METRO TİCARİ VE MALİ YATIRIMLAR HOLDİNG A.Ş.,İSTANBUL
METUR,METEMTUR YATIRIM ENERJİ TURİZM VE İNŞAAT A.Ş.,İSTANBUL
MGROS,MİGROS TİCARET A.Ş.,İSTANBUL
MHRGY,MHR GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
MIATK,MİA TEKNOLOJİ A.Ş.,ANKARA
MIPAZ,MİLPA TİCARİ VE SINAİ ÜRÜNLER PAZARLAMA SANAYİ VE TİCARET A.Ş.,İSTANBUL
MNDRS,MENDERES TEKSTİL SANAYİ VE TİCARET A.Ş.,İZMİR
MNDTR,MONDİ TURKEY OLUKLU MUKAVVA KAĞIT VE AMBALAJ SANAYİ A.Ş.,İZMİR
MOBTL,MOBİLTEL İLETİŞİM HİZMETLERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL
MOGAN,MOGAN ENERJİ YATIRIM HOLDİNG A.Ş.,ANKARA
MOPAS,MOPAŞ MARKETÇİLİK GIDA SANAYİ VE TİCARET A.Ş.,İSTANBUL
MPARK,MLP SAĞLIK HİZMETLERİ A.Ş.,İSTANBUL
MRGYO,MARTI GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
MRSHL,MARSHALL BOYA VE VERNİK SANAYİİ A.Ş.,KOCAELİ
MSGYO,MİSTRAL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İZMİR
MTRKS,MATRİKS FİNANSAL TEKNOLOJİLER A.Ş.,İSTANBUL
MZHLD,MAZHAR ZORLU HOLDİNG A.Ş.,İZMİR
NATEN,NATUREL YENİLENEBİLİR ENERJİ TİCARET A.Ş.,ANKARA
NETAS,NETAŞ TELEKOMÜNİKASYON A.Ş.,İSTANBUL
NIBAS,NİĞBAŞ NİĞDE BETON SANAYİ VE TİCARET A.Ş.,NİĞDE
NTGAZ,NATURELGAZ SANAYİ VE TİCARET A.Ş.,İSTANBUL
NTHOL,NET HOLDİNG A.Ş.,İSTANBUL
NUGYO,NUROL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
NUHCM,NUH ÇİMENTO SANAYİ A.Ş.,KOCAELİ
OBAMS,OBA MAKARNACILIK SANAYİ VE TİCARET A.Ş.,GAZİANTEP
OBASE,OBASE BİLGİSAYAR VE DANIŞMANLIK HİZMETLERİ TİCARET A.Ş.,İSTANBUL
ODAS,ODAŞ ELEKTRİK ÜRETİM SANAYİ TİCARET A.Ş.,İSTANBUL
ODINE,ODİNE SOLUTİONS TEKNOLOJİ TİCARET VE SANAYİ A.Ş.,İSTANBUL
OFSYM,OFİS YEM GIDA SANAYİ TİCARET A.Ş.,ANKARA
ONCSM,ONCOSEM ONKOLOJİK SİSTEMLER SANAYİ VE TİCARET A.Ş.,ANKARA
ONRYT,ONUR YÜKSEK TEKNOLOJİ A.Ş.,ANKARA
ORCAY,ORÇAY ORTAKÖY ÇAY SANAYİ VE TİCARET A.Ş.,RİZE
ORGE,ORGE ENERJİ ELEKTRİK TAAHHÜT A.Ş.,İSTANBUL
ORMA,ORMA ORMAN MAHSÜLLERİ İNTEGRE SANAYİ VE TİCARET A.Ş.,İSTANBUL
OSTIM,OSTİM ENDÜSTRİYEL YATIRIMLAR VE İŞLETME A.Ş.,ANKARA
OTKAR,OTOKAR OTOMOTİV VE SAVUNMA SANAYİ A.Ş.,İSTANBUL
OTTO,OTTO HOLDİNG A.Ş.,İSTANBUL
OYAKC,OYAK ÇİMENTO FABRİKALARI A.Ş.,ANKARA
OYLUM,OYLUM SINAİ YATIRIMLAR A.Ş.,KAYSERİ
OZATD,ÖZATA DENİZCİLİK SANAYİ VE TİCARET A.Ş.,YALOVA
OZGYO,ÖZDERİCİ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
OZKGY,ÖZAK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
OZRDN,ÖZERDEN AMBALAJ SANAYİ A.Ş.,İSTANBUL
OZSUB,ÖZSU BALIK ÜRETİM A.Ş.,İZMİR
OZYSR,ÖZYAŞAR TEL VE GALVANİZLEME SANAYİ A.Ş.,İSTANBUL
PAGYO,PANORA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ANKARA
PAMEL,PAMEL YENİLENEBİLİR ELEKTRİK ÜRETİM A.Ş.,İSTANBUL
PAPIL,PAPİLON SAVUNMA TEKNOLOJİ VE TİCARET A.Ş.,ANKARA
PARSN,PARSAN MAKİNA PARÇALARI SANAYİİ A.Ş.,İSTANBUL
PASEU,PASİFİK EURASİA LOJİSTİK DIŞ TİCARET A.Ş.,ANKARA
PATEK,PASİFİK TEKNOLOJİ A.Ş.,İSTANBUL
PCILT,PC İLETİŞİM VE MEDYA HİZMETLERİ SANAYİ TİCARET A.Ş.,İSTANBUL
PEGYO,PERA YATIRIM HOLDİNG A.Ş.,ANKARA
PEHOL,PERA YATIRIM HOLDİNG A.Ş.,ANKARA
PEKGY,PEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
PENGD,PENGUEN GIDA SANAYİ A.Ş.,BURSA
PENTA,PENTA TEKNOLOJİ ÜRÜNLERİ DAĞITIM TİCARET A.Ş.,İSTANBUL
PETKM,PETKİM PETROKİMYA HOLDİNG A.Ş.,İZMİR
PETUN,PINAR ENTEGRE ET VE UN SANAYİİ A.Ş.,İZMİR
PGSUS,PEGASUS HAVA TAŞIMACILIĞI A.Ş.,İSTANBUL
PINSU,PINAR SU VE İÇECEK SANAYİ VE TİCARET A.Ş.,İZMİR
PKART,PLASTİKKART AKILLI KART İLETİŞİM SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL
PKENT,PETROKENT TURİZM A.Ş.,ANKARA
PLTUR,PLATFORM TURİZM TAŞIMACILIK GIDA İNŞAAT TEMİZLİK HİZMETLERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL
PNLSN,PANELSAN ÇATI CEPHE SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,ANKARA
PNSUT,PINAR SÜT MAMÜLLERİ SANAYİİ A.Ş.,İZMİR
POLHO,POLİSAN HOLDİNG A.Ş.,KOCAELİ
POLTK,POLİTEKNİK METAL SANAYİ VE TİCARET A.Ş.,İSTANBUL
PRDGS,PARDUS GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
PRKAB,TÜRK PRYSMİAN KABLO VE SİSTEMLERİ A.Ş.,BURSA
PRKME,PARK ELEKTRİK ÜRETİM MADENCİLİK SANAYİ VE TİCARET A.Ş.,İSTANBUL
PRZMA,PRİZMA PRES MATBAACILIK YAYINCILIK SANAYİ VE TİCARET A.Ş.,İSTANBUL
PSDTC,PERGAMON STATUS DIŞ TİCARET A.Ş.,İZMİR
PSGYO,PASİFİK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ANKARA
QNBFK,QNB FİNANSAL KİRALAMA A.Ş.,İSTANBUL
QNBFL,QNB FİNANSAL KİRALAMA A.Ş.,İSTANBUL
QUAGR,QUA GRANITE HAYAL YAPI VE ÜRÜNLERİ SANAYİ TİCARET A.Ş.,AYDIN
RALYH,RAL YATIRIM HOLDİNG A.Ş.,ANKARA
RAYSG,RAY SİGORTA A.Ş.,İSTANBUL
REEDR,REEDER TEKNOLOJİ SANAYİ VE TİCARET A.Ş.,SAMSUN
RGYAS,RÖNESANS GAYRİMENKUL YATIRIM A.Ş.,ANKARA
RNPOL,RAİNBOW POLİKARBONAT SANAYİ TİCARET A.Ş.,KAYSERİ
RODRG,RODRİGO TEKSTİL SANAYİ VE TİCARET A.Ş.,İSTANBUL
RTALB,RTA LABORATUVARLARI BİYOLOJİK ÜRÜNLER İLAÇ VE MAKİNE SANAYİ TİCARET A.Ş.,KOCAELİ
RUBNS,RUBENİS TEKSTİL SANAYİ TİCARET A.Ş.,İSTANBUL
RYGYO,REYSAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
RYSAS,REYSAŞ TAŞIMACILIK VE LOJİSTİK TİCARET A.Ş.,İSTANBUL
SAFKR,SAFKAR EGE SOĞUTMACILIK KLİMA SOĞUK HAVA TESİSLERİ İHRACAT İTHALAT SANAYİ VE TİCARET A.Ş.,İZMİR
SAHOL,HACI ÖMER SABANCI HOLDİNG A.Ş.,İSTANBUL
SAMAT,SARAY MATBAACILIK KAĞITÇILIK KIRTASİYECİLİK TİCARET VE SANAYİ A.Ş.,ANKARA
SANEL,SAN-EL MÜHENDİSLİK ELEKTRİK TAAHHÜT SANAYİ VE TİCARET A.Ş.,İSTANBUL
SANFM,SANİFOAM ENDÜSTRİ VE TÜKETİM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,TEKİRDAĞ
SANKO,SANKO PAZARLAMA İTHALAT İHRACAT A.Ş.,GAZİANTEP
SARKY,SARKUYSAN ELEKTROLİTİK BAKIR SANAYİ VE TİCARET A.Ş.,KOCAELİ
SASA,SASA POLYESTER SANAYİ A.Ş.,ADANA
SAYAS,SAY YENİLENEBİLİR ENERJİ EKİPMANLARI SANAYİ VE TİCARET A.Ş.,İZMİR
SDTTR,SDT UZAY VE SAVUNMA TEKNOLOJİLERİ A.Ş.,ANKARA
SEGMN,SEĞMEN KARDEŞLER GIDA ÜRETİM VE AMBALAJ SANAYİ A.Ş.,ANKARA
SEGYO,ŞEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
SEKFK,ŞEKER FİNANSAL KİRALAMA A.Ş.,İSTANBUL
SEKUR,SEKURO PLASTİK AMBALAJ SANAYİ A.Ş.,İSTANBUL
SELEC,SELÇUK ECZA DEPOSU TİCARET VE SANAYİ A.Ş.,İSTANBUL
SELGD,SELÇUK GIDA ENDÜSTRİ İHRACAT İTHALAT A.Ş.,İZMİR
SELVA,SELVA GIDA SANAYİ A.Ş.,KONYA
SERNT,SERANİT GRANİT SERAMİK SANAYİ VE TİCARET A.Ş.,İSTANBUL
SEYKM,SEYİTLER KİMYA SANAYİ A.Ş.,MANİSA
SILVR,SİLVERLİNE ENDÜSTRİ VE TİCARET A.Ş.,AMASYA
SISE,TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş.,İSTANBUL
SKTAS,SÖKTAŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,AYDIN
SKYLP,SKYALP FİNANSAL TEKNOLOJİLER VE DANIŞMANLIK A.Ş.,İSTANBUL
SMART,SMARTİKS YAZILIM A.Ş.,İSTANBUL
SMRTG,SMART GÜNEŞ ENERJİSİ TEKNOLOJİLERİ ARAŞTIRMA GELİŞTİRME ÜRETİM SANAYİ VE TİCARET A.Ş.,İSTANBUL
SMRVA,SÜMER VARLIK YÖNETİM A.Ş.,İSTANBUL
SNGYO,SİNPAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
SNICA,SANİCA ISI SANAYİ A.Ş.,İSTANBUL
SNPAM,SÖNMEZ PAMUKLU SANAYİİ A.Ş.,BURSA
SODSN,SODAŞ SODYUM SANAYİİ A.Ş.,İZMİR
SOKE,SÖKE DEĞİRMENCİLİK SANAYİ VE TİCARET A.Ş.,AYDIN
SOKM,ŞOK MARKETLER TİCARET A.Ş.,İSTANBUL
SONME,SÖNMEZ FİLAMENT SENTETİK İPLİK VE ELYAF SANAYİ A.Ş.,BURSA
SRVGY,SERVET GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
SUMAS,SUMAŞ SUNİ TAHTA VE MOBİLYA SANAYİİ A.Ş.,BALIKESİR
SUNTK,SUN TEKSTİL SANAYİ VE TİCARET A.Ş.,İZMİR
SURGY,SUR TATİL EVLERİ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
SUWEN,SUWEN TEKSTİL SANAYİ PAZARLAMA A.Ş.,İSTANBUL
TABGD,TAB GIDA SANAYİ VE TİCARET A.Ş.,İSTANBUL
TARKM,TARKİM BİTKİ KORUMA SANAYİ VE TİCARET A.Ş.,MANİSA
TATEN,TATLIPINAR ENERJİ ÜRETİM A.Ş.,İSTANBUL
TATGD,TAT GIDA SANAYİ A.Ş.,İSTANBUL
TAVHL,TAV HAVALİMANLARI HOLDİNG A.Ş.,İSTANBUL
TBORG,TÜRK TUBORG BİRA VE MALT SANAYİİ A.Ş.,İZMİR
TCELL,TURKCELL İLETİŞİM HİZMETLERİ A.Ş.,İSTANBUL
TCKRC,KIRAÇ GALVANİZ TELEKOMİNİKASYON METAL MAKİNE İNŞAAT ELEKTRİK SANAYİ VE TİCARET A.Ş.,BURSA
TDGYO,TREND GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
TEKTU,TEK-ART İNŞAAT TİCARET TURİZM SANAYİ VE YATIRIMLAR A.Ş.,İSTANBUL
TERA,TERA YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL
TETMT,LYDİA YEŞİL ENERJİ KAYNAKLARI A.Ş.,İSTANBUL
TEZOL,EUROPAP TEZOL KAĞIT SANAYİ VE TİCARET A.Ş.,İZMİR
TGSAS,TGS DIŞ TİCARET A.Ş.,İSTANBUL
THYAO,TÜRK HAVA YOLLARI A.O.,İSTANBUL
TKFEN,TEKFEN HOLDİNG A.Ş.,İSTANBUL
TKNSA,TEKNOSA İÇ VE DIŞ TİCARET A.Ş.,İSTANBUL
TLMAN,TRABZON LİMAN İŞLETMECİLİĞİ A.Ş.,TRABZON
TMPOL,TEMAPOL POLİMER PLASTİK VE İNŞAAT SANAYİ TİCARET A.Ş.,KAYSERİ
TMSN,TÜMOSAN MOTOR VE TRAKTÖR SANAYİ A.Ş.,İSTANBUL
TNZTP,TAPDİ OKSİJEN ÖZEL SAĞLIK VE EĞİTİM HİZMETLERİ SANAYİ TİCARET A.Ş.,İZMİR
TOASO,TOFAŞ TÜRK OTOMOBİL FABRİKASI A.Ş.,İSTANBUL
TRCAS,TURCAS PETROL A.Ş.,İSTANBUL
TRGYO,TORUNLAR GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
TRILC,TURK İLAÇ VE SERUM SANAYİ A.Ş.,ANKARA
TSGYO,TSKB GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
TSPOR,TRABZONSPOR SPORTİF YATIRIM VE FUTBOL İŞLETMECİLİĞİ TİCARET A.Ş.,TRABZON
TTKOM,TÜRK TELEKOMÜNİKASYON A.Ş.,ANKARA
TTRAK,TÜRK TRAKTÖR VE ZİRAAT MAKİNELERİ A.Ş.,ANKARA
TUCLK,TUĞÇELİK ALÜMİNYUM VE METAL MAMÜLLERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL
TUKAS,TUKAŞ GIDA SANAYİ VE TİCARET A.Ş.,İZMİR
TUPRS,TÜPRAŞ-TÜRKİYE PETROL RAFİNERİLERİ A.Ş.,İSTANBUL
TUREX,TUREKS TURİZM TAŞIMACILIK A.Ş.,İSTANBUL
TURGG,TÜRKER PROJE GAYRİMENKUL VE YATIRIM GELİŞTİRME A.Ş.,İSTANBUL
TURSG,TÜRKİYE SİGORTA A.Ş.,İSTANBUL
UFUK,UFUK YATIRIM YÖNETİM VE GAYRİMENKUL A.Ş.,İSTANBUL
ULAS,ULAŞLAR TURİZM ENERJİ TARIM GIDA VE İNŞAAT YATIRIMLARI A.Ş.,ANKARA
ULKER,ÜLKER BİSKÜVİ SANAYİ A.Ş.,İSTANBUL
ULUFA,ULUSAL FAKTORİNG A.Ş.,İSTANBUL
ULUSE,ULUSOY ELEKTRİK İMALAT TAAHHÜT VE TİCARET A.Ş.,ANKARA
ULUUN,ULUSOY UN SANAYİ VE TİCARET A.Ş.,SAMSUN
UMPAS,UMPAŞ HOLDİNG A.Ş.,UŞAK
UNLU,ÜNLÜ YATIRIM HOLDİNG A.Ş.,İSTANBUL
USAK,UŞAK SERAMİK SANAYİ A.Ş.,UŞAK
UZERB,İNNOSA TEKNOLOJİ A.Ş.,İSTANBUL
VAKFN,VAKIF FİNANSAL KİRALAMA A.Ş.,İSTANBUL
VAKKO,VAKKO TEKSTİL VE HAZIR GİYİM SANAYİ İŞLETMELERİ A.Ş.,İSTANBUL
VANGD,VANET GIDA SANAYİ İÇ VE DIŞ TİCARET A.Ş.,İSTANBUL
VBTYZ,VBT YAZILIM A.Ş.,İSTANBUL
VERTU,VERUSATURK GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
VERUS,VERUSA HOLDİNG A.Ş.,İSTANBUL
VESBE,VESTEL BEYAZ EŞYA SANAYİ VE TİCARET A.Ş.,İSTANBUL
VESTL,VESTEL ELEKTRONİK SANAYİ VE TİCARET A.Ş.,İSTANBUL
VKGYO,VAKIF GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
VKING,VİKİNG KAĞIT VE SELÜLOZ A.Ş.,İZMİR
VRGYO,VERA KONSEPT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ANKARA
VSNMD,VİŞNE MADENCİLİK ÜRETİM SANAYİ VE TİCARET A.Ş.,İZMİR
YAPRK,YAPRAK SÜT VE BESİ ÇİFTLİKLERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL
YATAS,YATAŞ YATAK VE YORGAN SANAYİ TİCARET A.Ş.,KAYSERİ
YAYLA,YAYLA ENERJİ ÜRETİM TURİZM VE İNŞAAT TİCARET A.Ş.,ANKARA
YBTAS,YİBİTAŞ YOZGAT İŞÇİ BİRLİĞİ İNŞAAT MALZEMELERİ TİCARET VE SANAYİ A.Ş.,YOZGAT
YEOTK,YEO TEKNOLOJİ ENERJİ VE ENDÜSTRİ A.Ş.,İSTANBUL
YESIL,YEŞİL YATIRIM HOLDİNG A.Ş.,İSTANBUL
YGGYO,YENİ GİMAT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ANKARA
YGYO,YEŞİL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
YIGIT,YİĞİT AKÜ MALZEMELERİ NAKLİYAT TURİZM İNŞAAT SANAYİ VE TİCARET A.Ş.,ANKARA
YKSLN,YÜKSELEN ÇELİK A.Ş.,İSTANBUL
YONGA,YONGA MOBİLYA SANAYİ VE TİCARET A.Ş.,DENİZLİ
YUNSA,YÜNSA YÜNLÜ SANAYİ VE TİCARET A.Ş.,İSTANBUL
YYAPI,YEŞİL YAPI ENDÜSTRİSİ A.Ş.,İSTANBUL
YYLGD,YAYLA AGRO GIDA SANAYİ VE TİCARET A.Ş.,ANKARA
ZEDUR,ZEDUR ENERJİ ELEKTRİK ÜRETİM A.Ş.,ANKARA
ZOREN,ZORLU ENERJİ ELEKTRİK ÜRETİM A.Ş.,BURSA
ZRGYO,ZİRAAT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
